ID,Entity,Year,Deaths
0,All natural disasters,1900,1267360
1,All natural disasters,1901,200018
2,All natural disasters,1902,46037
3,All natural disasters,1903,6506
4,All natural disasters,1905,22758
5,All natural disasters,1906,42970
6,All natural disasters,1907,1325641
7,All natural disasters,1908,75033
8,All natural disasters,1909,1511524
9,All natural disasters,1910,148233
10,All natural disasters,1911,102408
11,All natural disasters,1912,52093
12,All natural disasters,1913,882
13,All natural disasters,1914,289
14,All natural disasters,1915,32167
15,All natural disasters,1916,300
16,All natural disasters,1917,2523507
17,All natural disasters,1918,461113
18,All natural disasters,1919,5500
19,All natural disasters,1920,3204224
20,All natural disasters,1921,1200000
21,All natural disasters,1922,101243
22,All natural disasters,1923,255701
23,All natural disasters,1924,303009
24,All natural disasters,1925,5832
25,All natural disasters,1926,427852
26,All natural disasters,1927,215160
27,All natural disasters,1928,3004895
28,All natural disasters,1929,8377
29,All natural disasters,1930,10572
30,All natural disasters,1931,3706227
31,All natural disasters,1932,73296
32,All natural disasters,1933,34296
33,All natural disasters,1934,21087
34,All natural disasters,1935,272817
35,All natural disasters,1936,5301
36,All natural disasters,1937,12025
37,All natural disasters,1938,2225
38,All natural disasters,1939,563178
39,All natural disasters,1940,23023
40,All natural disasters,1941,10195
41,All natural disasters,1942,1608235
42,All natural disasters,1943,1910322
43,All natural disasters,1944,15906
44,All natural disasters,1945,10376
45,All natural disasters,1946,35490
46,All natural disasters,1947,17647
47,All natural disasters,1948,120131
48,All natural disasters,1949,120370
49,All natural disasters,1950,6728
50,All natural disasters,1951,15042
51,All natural disasters,1952,8965
52,All natural disasters,1953,12956
53,All natural disasters,1954,41872
54,All natural disasters,1955,6026
55,All natural disasters,1956,7737
56,All natural disasters,1957,10603
57,All natural disasters,1958,3950
58,All natural disasters,1959,2013242
59,All natural disasters,1960,39188
60,All natural disasters,1961,17341
61,All natural disasters,1962,17370
62,All natural disasters,1963,37746
63,All natural disasters,1964,12892
64,All natural disasters,1965,1565517
65,All natural disasters,1966,17181
66,All natural disasters,1967,10103
67,All natural disasters,1968,21461
68,All natural disasters,1969,11687
69,All natural disasters,1970,387507
70,All natural disasters,1971,18086
71,All natural disasters,1972,20045
72,All natural disasters,1973,110555
73,All natural disasters,1974,87504
74,All natural disasters,1975,14858
75,All natural disasters,1976,280469
76,All natural disasters,1977,22406
77,All natural disasters,1978,38096
78,All natural disasters,1979,7341
79,All natural disasters,1980,23089
80,All natural disasters,1981,119697
81,All natural disasters,1982,13973
82,All natural disasters,1983,461561
83,All natural disasters,1984,16273
84,All natural disasters,1985,60232
85,All natural disasters,1986,10349
86,All natural disasters,1987,21533
87,All natural disasters,1988,57464
88,All natural disasters,1989,12611
89,All natural disasters,1990,53141
90,All natural disasters,1991,189707
91,All natural disasters,1992,18911
92,All natural disasters,1993,21821
93,All natural disasters,1994,15590
94,All natural disasters,1995,27166
95,All natural disasters,1996,31595
96,All natural disasters,1997,30124
97,All natural disasters,1998,62672
98,All natural disasters,1999,76886
99,All natural disasters,2000,16667
100,All natural disasters,2001,39493
101,All natural disasters,2002,21342
102,All natural disasters,2003,113558
103,All natural disasters,2004,244772
104,All natural disasters,2005,93566
105,All natural disasters,2006,29893
106,All natural disasters,2007,22422
107,All natural disasters,2008,242236
108,All natural disasters,2009,16037
109,All natural disasters,2010,329900
110,All natural disasters,2011,34143
111,All natural disasters,2012,11619
112,All natural disasters,2013,22225
113,All natural disasters,2014,20882
114,All natural disasters,2015,23893
115,All natural disasters,2016,10201
116,All natural disasters,2017,2087
117,Drought,1900,1261000
118,Drought,1910,85000
119,Drought,1920,524000
120,Drought,1921,1200000
121,Drought,1928,3000000
122,Drought,1940,20000
123,Drought,1942,1500000
124,Drought,1943,1900000
125,Drought,1946,30000
126,Drought,1964,50
127,Drought,1965,1502000
128,Drought,1966,8000
129,Drought,1967,600
130,Drought,1973,100000
131,Drought,1974,19000
132,Drought,1978,63
133,Drought,1979,18
134,Drought,1981,103000
135,Drought,1982,280
136,Drought,1983,450520
137,Drought,1984,230
138,Drought,1986,84
139,Drought,1987,1317
140,Drought,1988,1600
141,Drought,1989,237
142,Drought,1991,2000
143,Drought,1997,732
144,Drought,1998,20
145,Drought,1999,361
146,Drought,2000,80
147,Drought,2001,99
148,Drought,2002,588
149,Drought,2003,9
150,Drought,2004,80
151,Drought,2005,149
152,Drought,2006,134
153,Drought,2008,8
154,Drought,2010,20000
155,Drought,2015,35
156,Earthquake,1901,18
157,Earthquake,1902,6747
158,Earthquake,1903,6000
159,Earthquake,1905,22500
160,Earthquake,1906,31966
161,Earthquake,1907,25641
162,Earthquake,1908,75000
163,Earthquake,1909,5146
164,Earthquake,1910,1762
165,Earthquake,1912,923
166,Earthquake,1913,150
167,Earthquake,1914,149
168,Earthquake,1915,29986
169,Earthquake,1917,19450
170,Earthquake,1918,10379
171,Earthquake,1920,180000
172,Earthquake,1922,1100
173,Earthquake,1923,152362
174,Earthquake,1924,767
175,Earthquake,1925,5013
176,Earthquake,1926,12
177,Earthquake,1927,206142
178,Earthquake,1928,635
179,Earthquake,1929,3317
180,Earthquake,1930,5081
181,Earthquake,1931,1537
182,Earthquake,1932,70006
183,Earthquake,1933,16180
184,Earthquake,1934,15496
185,Earthquake,1935,66110
186,Earthquake,1936,26
187,Earthquake,1938,166
188,Earthquake,1939,63094
189,Earthquake,1940,1275
190,Earthquake,1941,189
191,Earthquake,1942,7235
192,Earthquake,1943,4332
193,Earthquake,1944,14984
194,Earthquake,1945,5961
195,Earthquake,1946,5153
196,Earthquake,1947,633
197,Earthquake,1948,115618
198,Earthquake,1949,6486
199,Earthquake,1950,1833
200,Earthquake,1951,1554
201,Earthquake,1952,2432
202,Earthquake,1953,2717
203,Earthquake,1954,3344
204,Earthquake,1955,959
205,Earthquake,1956,763
206,Earthquake,1957,6993
207,Earthquake,1958,227
208,Earthquake,1959,103
209,Earthquake,1960,19395
210,Earthquake,1961,60
211,Earthquake,1962,12209
212,Earthquake,1963,1700
213,Earthquake,1964,335
214,Earthquake,1965,683
215,Earthquake,1966,2752
216,Earthquake,1967,1013
217,Earthquake,1968,10858
218,Earthquake,1969,3353
219,Earthquake,1970,78599
220,Earthquake,1971,1107
221,Earthquake,1972,15170
222,Earthquake,1973,552
223,Earthquake,1974,24808
224,Earthquake,1975,12632
225,Earthquake,1976,276994
226,Earthquake,1977,3098
227,Earthquake,1978,25162
228,Earthquake,1979,2100
229,Earthquake,1980,7730
230,Earthquake,1981,4206
231,Earthquake,1982,2120
232,Earthquake,1983,2148
233,Earthquake,1984,57
234,Earthquake,1985,9853
235,Earthquake,1986,1181
236,Earthquake,1987,5160
237,Earthquake,1988,27049
238,Earthquake,1989,650
239,Earthquake,1990,42853
240,Earthquake,1991,2454
241,Earthquake,1992,4033
242,Earthquake,1993,10088
243,Earthquake,1994,1242
244,Earthquake,1995,7739
245,Earthquake,1996,576
246,Earthquake,1997,3159
247,Earthquake,1998,9573
248,Earthquake,1999,21869
249,Earthquake,2000,217
250,Earthquake,2001,21348
251,Earthquake,2002,1639
252,Earthquake,2003,29617
253,Earthquake,2004,227290
254,Earthquake,2005,76241
255,Earthquake,2006,6692
256,Earthquake,2007,780
257,Earthquake,2008,87918
258,Earthquake,2009,1893
259,Earthquake,2010,226733
260,Earthquake,2011,20946
261,Earthquake,2012,711
262,Earthquake,2013,1120
263,Earthquake,2014,774
264,Earthquake,2015,9550
265,Earthquake,2016,1311
266,Earthquake,2017,49
267,Epidemic,1900,30
268,Epidemic,1901,200000
269,Epidemic,1907,1300000
270,Epidemic,1909,1500040
271,Epidemic,1910,60000
272,Epidemic,1917,2500000
273,Epidemic,1918,449700
274,Epidemic,1920,2500000
275,Epidemic,1923,100000
276,Epidemic,1924,300000
277,Epidemic,1926,423000
278,Epidemic,1932,16
279,Epidemic,1935,2000
280,Epidemic,1940,1500
281,Epidemic,1947,10276
282,Epidemic,1953,481
283,Epidemic,1963,1000
284,Epidemic,1964,617
285,Epidemic,1965,816
286,Epidemic,1966,200
287,Epidemic,1967,3137
288,Epidemic,1968,177
289,Epidemic,1969,3520
290,Epidemic,1970,939
291,Epidemic,1971,2313
292,Epidemic,1972,35
293,Epidemic,1974,1500
294,Epidemic,1976,396
295,Epidemic,1977,1184
296,Epidemic,1978,3060
297,Epidemic,1979,486
298,Epidemic,1980,1685
299,Epidemic,1981,2497
300,Epidemic,1982,2912
301,Epidemic,1983,1219
302,Epidemic,1984,7016
303,Epidemic,1985,5854
304,Epidemic,1986,3046
305,Epidemic,1987,2592
306,Epidemic,1988,15216
307,Epidemic,1989,1870
308,Epidemic,1990,2207
309,Epidemic,1991,30682
310,Epidemic,1992,6675
311,Epidemic,1993,651
312,Epidemic,1994,2505
313,Epidemic,1995,4428
314,Epidemic,1996,16887
315,Epidemic,1997,10674
316,Epidemic,1998,12931
317,Epidemic,1999,6293
318,Epidemic,2000,6980
319,Epidemic,2001,8515
320,Epidemic,2002,8762
321,Epidemic,2003,3522
322,Epidemic,2004,3245
323,Epidemic,2005,3909
324,Epidemic,2006,6402
325,Epidemic,2007,5484
326,Epidemic,2008,6904
327,Epidemic,2009,4895
328,Epidemic,2010,12143
329,Epidemic,2011,3174
330,Epidemic,2012,1887
331,Epidemic,2013,529
332,Epidemic,2014,12911
333,Epidemic,2015,1032
334,Epidemic,2016,1520
335,Epidemic,2017,386
336,Extreme temperature,1936,1693
337,Extreme temperature,1951,69
338,Extreme temperature,1953,669
339,Extreme temperature,1955,107
340,Extreme temperature,1958,651
341,Extreme temperature,1961,400
342,Extreme temperature,1962,50
343,Extreme temperature,1963,162
344,Extreme temperature,1965,100
345,Extreme temperature,1966,262
346,Extreme temperature,1968,153
347,Extreme temperature,1971,400
348,Extreme temperature,1972,110
349,Extreme temperature,1973,283
350,Extreme temperature,1975,140
351,Extreme temperature,1978,150
352,Extreme temperature,1979,470
353,Extreme temperature,1980,1389
354,Extreme temperature,1981,300
355,Extreme temperature,1982,400
356,Extreme temperature,1983,205
357,Extreme temperature,1984,290
358,Extreme temperature,1985,456
359,Extreme temperature,1986,50
360,Extreme temperature,1987,1220
361,Extreme temperature,1988,644
362,Extreme temperature,1989,381
363,Extreme temperature,1990,979
364,Extreme temperature,1991,835
365,Extreme temperature,1992,388
366,Extreme temperature,1993,106
367,Extreme temperature,1994,341
368,Extreme temperature,1995,1730
369,Extreme temperature,1996,300
370,Extreme temperature,1997,604
371,Extreme temperature,1998,3269
372,Extreme temperature,1999,771
373,Extreme temperature,2000,941
374,Extreme temperature,2001,1787
375,Extreme temperature,2002,3369
376,Extreme temperature,2003,74698
377,Extreme temperature,2004,255
378,Extreme temperature,2005,1550
379,Extreme temperature,2006,4826
380,Extreme temperature,2007,1086
381,Extreme temperature,2008,1688
382,Extreme temperature,2009,1386
383,Extreme temperature,2010,57188
384,Extreme temperature,2011,435
385,Extreme temperature,2012,1834
386,Extreme temperature,2013,1821
387,Extreme temperature,2014,1168
388,Extreme temperature,2015,7425
389,Extreme temperature,2016,490
390,Extreme temperature,2017,130
